customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,sales_id,order_id,product_id,price_per_unit,quantity,total_price,product_ID,product_type,product_name,size,colour,price,quantity,description,payment,order_date,delivery_date
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,0,1,218,106,2,212,0,Shirt,Oxford Cloth,XS,red,114,66,"A red coloured, XS sized, Oxford Cloth Shirt",30811,30/08/2021,24/09/2021
2,Zabrina Harrowsmith,Genderfluid,69,8327 Kirlin SummitApt. 461,8223,New Zacharyfort,South Australia,Australia,1,1,481,118,1,118,1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",50490,03/02/2021,13/02/2021
3,Shina Dullaghan,Polygender,59,269 Gemma SummitSuite 109,5661,Aliburgh,Australian Capital Territory,Australia,2,1,2,96,3,288,2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",46763,08/10/2021,03/11/2021
4,Hewet McVitie,Bigender,67,743 Bailey GroveSuite 141,1729,South Justinhaven,Queensland,Australia,3,1,1002,106,2,212,3,Shirt,Oxford Cloth,L,red,114,69,"A red coloured, L sized, Oxford Cloth Shirt",39782,06/05/2021,19/05/2021
5,Rubia Ashleigh,Polygender,30,48 Hyatt ManorSuite 375,4032,Griffithsshire,Queensland,Australia,4,1,691,113,3,339,4,Shirt,Oxford Cloth,XL,red,114,47,"A red coloured, XL sized, Oxford Cloth Shirt",14719,23/03/2021,24/03/2021
6,Cordey Tolcher,Genderfluid,40,7118 Mccullough SquareSuite 639,9996,Blakehaven,New South Wales,Australia,5,1,981,106,3,318,5,Shirt,Oxford Cloth,XS,orange,114,45,"A orange coloured, XS sized, Oxford Cloth Shirt",16197,09/09/2021,05/10/2021
7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,6,2,915,96,1,96,6,Shirt,Oxford Cloth,S,orange,114,72,"A orange coloured, S sized, Oxford Cloth Shirt",37666,05/04/2021,11/04/2021
8,Marlowe Wynn,Agender,75,383 Muller SummitSuite 809,7681,Samside,Northern Territory,Australia,7,2,686,113,1,113,7,Shirt,Oxford Cloth,M,orange,114,77,"A orange coloured, M sized, Oxford Cloth Shirt",28484,12/04/2021,01/05/2021
9,Brittaney Gontier,Male,51,57 Greenfelder HillApt. 077,2,Beierport,Northern Territory,Australia,8,2,1091,115,3,345,8,Shirt,Oxford Cloth,L,orange,114,48,"A orange coloured, L sized, Oxford Cloth Shirt",12896,01/05/2021,11/05/2021
10,Susanetta Wilshin,Bigender,70,615 Hayley KnollSuite 454,2118,Joelburgh,Western Australia,Australia,9,2,1196,105,1,105,9,Shirt,Oxford Cloth,XL,orange,114,43,"A orange coloured, XL sized, Oxford Cloth Shirt",21922,15/10/2021,16/10/2021
